episode,seed,steps,score,lines_removed,pieces_placed,task_return,total_reward,termination_reason,terminated,truncated,game_over,horizon_completed,epsilon,last_loss,replay_size,learn_steps
105,104,300,94900,117,300,150.0,149.99999999999991,horizon_completed,True,False,False,True,0.01,0.6214356422424316,10543,9544
106,105,300,97800,118,300,149.0,148.99999999999994,horizon_completed,True,False,False,True,0.01,0.584738552570343,10843,9844
107,106,300,93000,118,300,147.0,146.99999999999986,horizon_completed,True,False,False,True,0.01,0.5367286801338196,11143,10144
108,107,300,92600,118,300,146.0,145.9999999999999,horizon_completed,True,False,False,True,0.01,0.6450690627098083,11443,10444
109,108,300,96400,119,300,150.0,149.99999999999991,horizon_completed,True,False,False,True,0.01,0.6428924202919006,11743,10744
110,109,300,101500,118,300,158.0,157.99999999999994,horizon_completed,True,False,False,True,0.01,0.590258002281189,12043,11044
111,110,300,97200,118,300,149.0,148.99999999999991,horizon_completed,True,False,False,True,0.01,0.4030127227306366,12343,11344
112,111,300,101600,119,300,157.0,156.99999999999997,horizon_completed,True,False,False,True,0.01,0.6006708741188049,12643,11644
113,112,300,95100,116,300,151.0,150.99999999999991,horizon_completed,True,False,False,True,0.01,0.566257119178772,12943,11944
114,113,300,96900,119,300,154.0,154.0,horizon_completed,True,False,False,True,0.01,0.39552199840545654,13243,12244
115,114,300,95500,118,300,154.0,154.0,horizon_completed,True,False,False,True,0.01,0.5373762845993042,13543,12544
116,115,300,98500,118,300,155.0,154.99999999999983,horizon_completed,True,False,False,True,0.01,0.43268564343452454,13843,12844
117,116,300,100400,118,300,157.0,156.9999999999999,horizon_completed,True,False,False,True,0.01,0.46105459332466125,14143,13144
118,117,300,98200,116,300,154.0,153.9999999999998,horizon_completed,True,False,False,True,0.01,0.38558483123779297,14443,13444
119,118,300,95100,117,300,149.0,148.99999999999986,horizon_completed,True,False,False,True,0.01,0.4803307354450226,14743,13744
120,119,300,100400,118,300,156.0,155.99999999999994,horizon_completed,True,False,False,True,0.01,0.7074480652809143,15043,14044
121,120,300,99700,118,300,157.0,156.99999999999991,horizon_completed,True,False,False,True,0.01,0.6851713061332703,15343,14344
122,121,300,103300,119,300,161.0,160.9999999999999,horizon_completed,True,False,False,True,0.01,0.3602256178855896,15643,14644
123,122,300,98700,116,300,156.0,156.0,horizon_completed,True,False,False,True,0.01,0.4098275601863861,15943,14944
